,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
North American Industry Classification System (NAICS),Retail trade  [44-45],Motor vehicle and parts dealers  [441],Automobile dealers  [4411],New car dealers  [44111],Used car dealers  [44112],Other motor vehicle dealers  [4412],"Automotive parts, accessories and tire stores  [4413]",Furniture and home furnishings stores  [442],Furniture stores  [4421],Home furnishings stores  [4422],Electronics and appliance stores  [443],Building material and garden equipment and supplies dealers  [444],Food and beverage stores  [445],Grocery stores  [4451],Supermarkets and other grocery (except convenience) stores   [44511],Convenience stores  [44512],Specialty food stores  [4452],"Beer, wine and liquor stores  [4453]",Health and personal care stores  [446],Gasoline stations  [447],Clothing and clothing accessories stores  [448],Clothing stores  [4481],Shoe stores  [4482],"Jewellery, luggage and leather goods stores  [4483]","Sporting goods, hobby, book and music stores  [451]",General merchandise stores  [452],Department stores  [4521],Other general merchandise stores  [4529],Miscellaneous store retailers  [453],Cannabis stores  [453993] 6
Nov-96,"19,820,074","5,078,444",..,"4,220,898",..,..,..,"607,370","421,292","186,078","555,802","923,871","4,979,952",..,"3,655,673",..,..,"747,123","1,330,842","1,689,478","1,285,868",..,..,..,"528,760","2,371,385","1,212,023","1,159,362","468,302",..
Dec-96,"19,688,254","4,987,559",..,"4,156,755",..,..,..,"603,166","415,604","187,562","556,108","922,517","4,947,385",..,"3,654,344",..,..,"712,999","1,339,135","1,724,552","1,292,530",..,..,..,"522,670","2,341,518","1,207,678","1,133,840","451,114",..
Jan-97,"19,857,365","4,976,234",..,"4,133,730",..,..,..,"607,178","412,524","194,654","566,668","924,631","5,082,439",..,"3,717,716",..,..,"778,080","1,336,238","1,733,850","1,298,922",..,..,..,"521,890","2,305,849","1,193,527","1,112,322","503,467",..
Feb-97,"20,141,489","5,140,241",..,"4,264,064",..,..,..,"621,375","422,843","198,532","584,502","957,448","5,079,409",..,"3,742,589",..,..,"757,250","1,336,375","1,724,739","1,282,321",..,..,..,"525,709","2,387,035","1,225,328","1,161,707","502,336",..
Mar-97,"20,056,949","5,129,556",..,"4,259,163",..,..,..,"622,764","423,166","199,598","566,355","954,471","5,038,159",..,"3,705,470",..,..,"765,383","1,332,456","1,699,725","1,291,758",..,..,..,"527,189","2,401,560","1,246,693","1,154,867","492,957",..
Apr-97,"20,215,340","5,196,814",..,"4,320,233",..,..,..,"631,637","429,726","201,911","580,114","985,432","5,029,420",..,"3,732,939",..,..,"729,062","1,337,590","1,694,920","1,289,216",..,..,..,"534,583","2,425,830","1,252,109","1,173,721","509,785",..
May-97,"20,386,953","5,327,176",..,"4,432,083",..,..,..,"649,645","438,541","211,104","574,731","993,771","5,080,604",..,"3,749,203",..,..,"760,159","1,314,173","1,653,485","1,293,188",..,..,..,"544,282","2,444,684","1,277,256","1,167,428","511,215",..
Jun-97,"20,466,883","5,224,622",..,"4,340,716",..,..,..,"648,253","443,594","204,659","588,197","1,030,888","5,109,800",..,"3,763,729",..,..,"775,754","1,305,688","1,686,371","1,312,163",..,..,..,"552,264","2,496,465","1,291,551","1,204,914","512,173",..
Jul-97,"20,681,230","5,354,954",..,"4,453,390",..,..,..,"646,118","444,441","201,677","590,083","1,055,356","5,126,257",..,"3,770,834",..,..,"779,921","1,335,921","1,662,863","1,316,693",..,..,..,"558,352","2,513,977","1,291,751","1,222,226","520,657",..
Aug-97,"20,605,349","5,112,964",..,"4,242,699",..,..,..,"653,527","450,413","203,114","607,823","1,048,516","5,171,268",..,"3,818,179",..,..,"775,341","1,356,966","1,687,348","1,336,833",..,..,..,"572,257","2,531,214","1,325,303","1,205,911","526,634",..
Sep-97,"20,646,564","5,139,652",..,"4,251,761",..,..,..,"647,603","449,494","198,109","604,114","1,039,087","5,181,990",..,"3,831,757",..,..,"771,982","1,358,059","1,712,393","1,337,852",..,..,..,"564,154","2,539,154","1,328,457","1,210,697","522,507",..
Oct-97,"21,037,021","5,496,506",..,"4,575,904",..,..,..,"648,596","449,391","199,205","607,765","1,041,193","5,194,071",..,"3,838,878",..,..,"780,783","1,356,309","1,720,074","1,339,814",..,..,..,"572,595","2,537,703","1,332,639","1,205,064","522,396",..
Nov-97,"20,973,561","5,470,286",..,"4,562,549",..,..,..,"647,857","450,922","196,935","617,142","1,033,386","5,151,742",..,"3,799,825",..,..,"772,108","1,361,794","1,720,435","1,334,844",..,..,..,"570,787","2,539,210","1,339,881","1,199,329","526,079",..
Dec-97,"21,749,250","6,031,778",..,"5,042,524",..,..,..,"679,941","461,479","218,462","632,233","1,115,746","5,178,282",..,"3,821,922",..,..,"777,628","1,374,016","1,684,157","1,352,031",..,..,..,"595,454","2,571,256","1,351,077","1,220,179","534,357",..
